GARES_ID,MODE_,LIGNE,NOM_GARE,ID_REFA_LDA
815,Train,LIGNE H,SAINT-DENIS,72323
812,Train,LIGNE L,SAINT-CLOUD,73749
852,Train,LIGNE K,THIEUX-NANTOUILLET,69196
882,Train,LIGNE R,VERNOU-SUR-SEINE,61450
867,Train,LIGNE J,VAL D'ARGENTEUIL,65110
202,RER,RER A,CONFLANS-FIN-D'OISE,73605
878,Train,LIGNE J,VAUX-SUR-SEINE,66338
869,RER,RER A,VAL-DE-FONTENAY,71718
860,Train,LIGNE P,TRILPORT,68984
893,RER,RER D,VIGNEUX-SUR-SEINE,63071
899,RER,RER C,VILLENEUVE-LE-ROI,69625
1159,RER,RER D,CRETEIL POMPADOUR,69950
1019,Train,GRD LIGNES,PARIS-BERCY,73652
79,Metro,5,Bobigny-Pablo Picasso,72486
93,Metro,7b,Botzaris,71906
54,Metro,1,Bastille,71743
412,Metro,7,La Courneuve 8 Mai 1945,73696
504,Metro,13,Malakoff-Plateau de Vanves,73766
510,Metro,12,Marcadet-Poissonniers,71511
769,Metro,12,Saint-Lazare,71370
344,Metro,3,Havre-Caumartin,73688
313,Metro,4,Gare de l'Est,71359
362,Metro,13,Invalides,71274
173,Metro,7,Chauss?e d'Antin (La Fayette),73689
332,Metro,11,Goncourt (H?pital Saint-Louis),71840
155,Metro,10,Charles Michels,71156
301,Metro,3,Gambetta,71808
329,Metro,1,George-V,71328
144,Metro,1,Champs-?lys?es-Cl?menceau,71305
226,Metro,8,Cr?teil-Universit?,70172
126,Metro,13,Carrefour Pleyel,72217
253,Metro,5,?glise de Pantin,72024
248,Metro,8,?cole Militaire,71224
218,Metro,2,Courcelles,71376
244,Metro,6,Dugommier,71606
113,Metro,13,Brochant,73661
414,Metro,1,La D?fense - Grande Arche,71517
513,Metro,9,Marcel Sembat,71054
533,Metro,2,M?nilmontant,71815
519,Metro,12,Marx Dormoy,71510
552,Metro,2,Monceau,73671
492,Metro,9,Mairie de Montreuil,71785
493,Metro,13,Mairie de Saint-Ouen,72168
419,Metro,12,Lamarck-Caulaincourt,71492
476,Metro,7,Louis Blanc,71407
443,Metro,7,Le Peletier,73616
460,Metro,4,Les Halles,73794
466,Metro,8,Libert?,71558
479,Metro,8,Lourmel,71086
995,Tramway,T4,Lyc?e Henri Sellier,411281
449,Tramway,T4,Les Coquetiers,72028
407,Tramway,T4,L'Abbaye,73709
601,Metro,12,Notre-Dame-des-Champs,71138
642,Metro,7,Pierre Curie,70537
573,Metro,4,Mouton-Duvernet,73653
633,Metro,2,P?re Lachaise,71787
625,Metro,3,Parmentier,71801
602,Metro,5,Oberkampf,71803
604,Metro,10,Od?on,73618
614,Metro,5,Ourcq,71972
725,Metro,3,R?aumur S?bastopol,73636
694,Metro,5,Porte de Pantin,71989
759,Metro,9,Saint-Augustin,73690
704,Metro,7,Porte d'Ivry,70636
721,Metro,11,Rambuteau,71273
723,Metro,4,Raspail,71088
728,Metro,12,Rennes,73640
1072,Metro,8,Cr?teil-Pointe du Lac,69884
896,Metro,7,Villejuif-L?o Lagrange,70375
892,Metro,2,Victor Hugo,71315
864,Metro,1,Tuileries,71284
907,Metro,2,Villiers,71403
1008,Metro,13,Les Courtilles-Asni?res-Gennevilliers,72286
764,Metro,3b,Saint-Fargeau,71860
761,Metro,13,Basilique de Saint-Denis,72326
877,Metro,12,Vaugirard (Adolphe Ch?riou),71091
125,Metro,10,Cardinal Lemoine,71153
195,Metro,2,Colonel Fabien,71893
162,Metro,4,Ch?teau Rouge,71469
233,Metro,6,Daumesnil,71614
299,Metro,13,Ga?t?,73675
122,Metro,7,Cadet,71351
763,Metro,13,Saint-Denis-Universit?,72358
1007,Metro,13,Les Agnettes-Asni?res-Gennevilliers,72240
765,Metro,13,Saint-Fran?ois-Xavier,71204
768,Metro,6,Saint-Jacques,71041
752,Metro,12,Rue du Bac,71227
300,Metro,3,Gallieni (Parc de Bagnolet),71817
279,Metro,8,Faidherbe Chaligny,74001
370,Metro,5,Jacques Bonsergent,71322
352,Metro,1,H?tel de Ville,415852
382,Metro,12,Jules Joffrin,71521
317,Metro,14,Gare de Lyon,73626
373,Metro,2,Jaur?s,71940
348,Metro,5,Hoche,72004
706,Metro,4,Porte d'Orl?ans,70657
722,Metro,9,Ranelagh,71243
739,Metro,7,Riquet,71977
746,Metro,2,Rome,71408
668,Metro,3,Pont de Levallois-B?con,72057
600,Metro,12,Notre-Dame-de-Lorette,71350
686,Metro,8,Porte de Charenton,71579
650,Metro,11,Place des F?tes,71885
779,Metro,4,Saint-Placide,71184
641,Metro,6,Picpus,71639
495,Metro,12,Mairie d'Issy,70671
463,Metro,1,Les Sablons (Jardin d'acclimatation),71404
542,Metro,10,Michel Ange-Auteuil,71206
491,Metro,13,Mairie de Clichy,72118
442,Metro,7,Le Kremlin-Bic?tre,70452
425,Metro,8,La Tour Maubourg,71242
547,Metro,10,Mirabeau,71162
486,Metro,10,Mabillon,73639
389,Metro,6,Kl?ber,73656
643,RER,RER D,PIERREFITTE-STAINS,72787
557,Train,LIGNE J,MONTGEROULT-COURCELLES,67076
558,Train,LIGNE H,MONTIGNY-BEAUCHAMP,66335
578,RER,RER A,NANTERRE-UNIVERSIT?,70956
589,RER,RER A,NEUILLY-PLAISANCE,73190
622,RER,RER B,PARC-DE-SCEAUX,69906
569,Train,LIGNE P,MORMANT,62351
498,RER,RER D,MAISONS-ALFORT-ALFORTVILLE,73625
806,RER,RER D,STADE DE FRANCE-SAINT-DENIS,72206
710,Train,LIGNE H,PRESLES-COURCELLES,67169
977,Train,LIGNE L,NOISY-LE-ROI,64246
797,Train,LIGNE N,S?VRES R.G,69531
804,Train,LIGNE R,SOUPPES-CH?TEAU-LANDON,61094
679,RER,RER C,PORCHEFONTAINE,63886
678,Train,LIGNE H,PONT-PETIT,66952
613,Train,LIGNE J,OSNY,66977
823,Train,LIGNE H,SAINT-LEU-LA-FORET,66452
720,Train,LIGNE N,RAMBOUILLET,60665
747,RER,RER E,ROSNY-BOIS-PERRIER,71935
753,RER,RER A,RUEIL-MALMAISON,70902
813,Train,LIGNE N,SAINT-CYR,73731
819,RER,RER D,SAINT-FARGEAU,62172
904,RER,RER B,VILLEPARISIS-MITRY-LE-NEUF,68916
906,Train,LIGNE N,VILLEPREUX-LES-CLAYES,64145
890,Train,LIGNE H,VIARMES,67176
905,RER,RER B,VILLEPINTE,73547
967,RER,RER E,TOURNAN,67625
901,RER,RER D,VILLENEUVE-SAINT-GEORGES,69568
894,RER,RER D,VILLAB?,60124
818,RER,RER C,SAINTE-GENEVI?VE-DES-BOIS,60785
845,RER,RER D,SURVILLIERS-FOSSES,69450
841,RER,RER A,SUCY-BONNEUIL,72929
793,RER,RER C,SERMAISE,59842
749,Train,GRD LIGNES,ROSNY-SUR-SEINE,66157
740,RER,RER D,RIS-ORANGIS,60839
801,Train,LIGNE L,S?VRES-VILLE-D'AVRAY,70686
831,Train,LIGNE L,SAINT-NOM-LA-BRET?CHE-FOR?T-DE-MARLY,64382
884,Train,LIGNE L,VERSAILLES R.D,64021
825,RER,RER C,SAINT-MARTIN-D'?TAMPES,59531
903,Train,LIGNE J,VILLENNES-SUR-SEINE,64949
886,Train,LIGNE N,VERSAILLES-CHANTIERS,63880
889,RER,RER B,VERT-GALANT,73482
858,Train,LIGNE N,TRAPPES,63650
221,Metro,14,Cour Saint-?milion,71576
98,Metro,9,Rue des Boulets,71694
11,Metro,2,Alexandre Dumas,71728
90,Metro,8,Bonne Nouvelle,71320
59,Metro,6,Bel Air,73650
66,Metro,14,Bercy,71607
163,RER,RER A,CH?TELET-LES HALLES,73794
191,Train,LIGNE L,CLICHY-LEVALLOIS,72073
178,RER,RER E,CHELLES-GOURNAY,68407
181,RER,RER E,LE CH?NAY-GAGNY,73266
158,Train,LIGNE R,CHARTRETTES,61763
193,Train,LIGNE N,COIGNI?RES,63369
184,RER,RER C,CHILLY-MAZARIN,62939
333,RER,RER D,GOUSSAINVILLE,66535
196,RER,RER D,COMBS-LA-VILLE-QUINCY,62558
285,Train,LIGNE R,FONTAINE-LE-PORT,61767
284,Train,LIGNE R,FONTAINEBLEAU-AVON,61579
346,Train,LIGNE J,HERBLAY,65897
347,Train,LIGNE R,H?RICY,61658
271,RER,RER C,?TAMPES,59577
298,RER,RER E,GAGNY,73278
270,RER,RER D,ESSONNES-ROBINSON,60234
341,Train,GRD LIGNES,GUILLERVAL,59450
392,RER,RER B,LA CROIX-DE-BERNY-FRESNES,69813
391,Train,LIGNE L,LA CELLE-SAINT-CLOUD,64251
508,Train,LIGNE J,MANTES-STATION,65770
522,RER,RER C,MASSY-PALAISEAU,63244
976,Train,LIGNE L,MAREIL-MARLY,73602
523,RER,RER B,MASSY-VERRI?RES,63320
520,RER,RER B,MASSY-PALAISEAU,63244
385,RER,RER C,JUVISY,62737
446,RER,RER E,LES BOULLEREAUX-CHAMPIGNY,73098
458,Train,LIGNE N,LES-ESSARTS-LE-ROI,63240
617,RER,RER B,PALAISEAU-VILLEBON,63067
472,Train,LIGNE P,LIZY-SUR-OURCQ,69237
438,RER,RER A,LE V?SINET-CENTRE,64514
965,RER,RER E,OZOIR-LA-FERRI?RE,67747
445,RER,RER B,LES BACONNETS,69622
402,RER,RER C,LA NORVILLE-SAINT-GERMAIN-L?S-A.,60115
530,RER,RER D,MELUN,61926
398,Train,LIGNE J,LA FRETTE-MONTIGNY,65659
393,RER,RER A,LA D?FENSE-GRANDE ARCHE,71517
431,RER,RER A,LE PARC-DE-SAINT-MAUR,70359
400,Train,LIGNE R,LA GRANDE PAROISSE,61412
537,Train,LIGNE H,M?RY-VAL D'OISE,66934
429,RER,RER B,LE GUICHET,63025
437,RER,RER D,LE VERT-DE-MAISONS,73624
428,RER,RER D,LE BRAS-DE-FER,60422
147,Train,LIGNE J,CHANTELOUP-LES-VIGNES,65443
266,Train,LIGNE H,ERMONT-EAUBONNE,65669
216,Train,LIGNE P,COULOMMIERS,67920
128,RER,RER A,CERGY LE HAUT,66834
258,RER,RER C,EPINAY-SUR-SEINE,72383
38,RER,RER C,AUSTERLITZ,71135
260,Train,LIGNE H,?PLUCHES,66915
239,Train,LIGNE H,DOMONT,66654
214,RER,RER D,LE COUDRAY-MONTCEAUX,59953
111,Train,GRD LIGNES,BR?VAL,65051
87,RER,RER A,BOISSY-SAINT-LEGER,72881
86,Train,LIGNE J,BOISSY-L'AILLERIE,67056
24,Train,LIGNE J,ARGENTEUIL,65063
62,Train,LIGNE N,BELLEVUE,69528
69,Train,LIGNE N,BEYNES,64338
85,RER,RER D,BOISSISE-LE-ROI,61943
913,RER,RER A,VINCENNES,71651
917,RER,RER D,VIRY-CH?TILLON,60981
171,Metro,13,Ch?tillon-Montrouge,70469
165,Metro,11,Ch?telet,71264
149,Metro,10,Chardon Lagache,71141
209,Metro,7,Corentin-Cariou,72031
159,Metro,4,Ch?teau d'Eau,71333
180,Metro,8,Chemin Vert,73622
183,Metro,6,Chevaleret,73651
199,Metro,1,Concorde,71298
311,Metro,10,Gare d'Austerlitz,71135
12,Metro,8,?cole V?t?rinaire de Maisons-Alfort,70522
49,Metro,2,Barb?s-Rochechouart,71426
124,Metro,5,Campo Formio,71063
60,Metro,11,Belleville,71853
220,Metro,2,Couronnes,71834
123,Metro,6,Cambronne,71167
227,Metro,7,Crim?e,72013
420,Metro,10,La Motte Picquet-Grenelle,71199
544,Metro,10,Michel Ange-Molitor,73658
546,Metro,8,Michel Bizot,71595
548,Metro,13,Miromesnil,71346
506,Metro,3,Malesherbes,71416
416,Metro,13,La Fourche,71474
509,Metro,9,Mara?chers,71703
555,Metro,8,Montgallet,71631
494,Metro,11,Mairie des Lilas,71909
499,Metro,8,Maisons-Alfort-Les Juilliottes,70358
500,Metro,8,Maisons-Alfort-Stade,70426
497,Metro,7,Maison Blanche,70645
481,Metro,1,Louvre-Rivoli,73630
467,Metro,13,Li?ge,71382
297,Metro,13,Gabriel P?ri-Asni?res-Gennevilliers,72203
562,Metro,12,Montparnasse Bienven?e,74040
293,Metro,1,Franklin D.Roosevelt,71318
283,Metro,8,Filles du Calvaire,71277
342,Metro,13,Guy M?quet,71528
280,Metro,12,Falgui?re,73641
278,Metro,9,Exelmans,71124
275,Metro,3,Europe,73617
88,Metro,7b,Bolivar,71920
72,Metro,14,Biblioth?que Fran?ois Mitterrand,71572
80,Metro,5,Bobigny-Pantin (Raymond Queneau),72039
43,Metro,10,Avenue ?mile Zola,71158
14,Metro,9,Alma-Marceau,71290
2,Metro,12,Abbesses,71432
25,Metro,1,Argentine,71348
76,Metro,2,Blanche,71420
10,Metro,4,Al?sia,71030
44,Metro,2,Avron,71686
648,Metro,13,Place de Clichy,71435
640,Metro,2,Philippe Auguste,71751
1,Metro,1,Porte Maillot,71379
646,Metro,12,Pigalle,71409
628,Metro,12,Pasteur,71125
690,Metro,4,Porte de Clignancourt,72059
691,Metro,12,Porte de la Chapelle,72064
674,Metro,7,Pont Neuf (La Monnaie),71253
684,Metro,3,Porte de Bagnolet,71799
693,Metro,9,Porte de Montreuil,71710
659,Metro,7,Poissonni?re,71363
1073,Metro,12,Front Populaire,74041
861,Metro,12,Trinit? d'Estienne d'Orves,71355
295,Tramway,T4,Freinville-Sevran,73411
718,Metro,5,Quai de la Rap?e,71637
758,Metro,9,Saint-Ambroise,71781
772,Metro,1,Saint-Mand?,71647
862,Metro,6,Trocad?ro,71285
709,Metro,7b,Pr? Saint-Gervais,71911
695,Metro,9,Porte de Saint-Cloud,71084
702,Metro,1,Porte de Vincennes,71663
798,Metro,10,S?vres-Babylone,71203
697,Metro,11,Porte des Lilas,71889
703,Metro,7,Porte d'Italie,70596
104,Metro,3,Bourse,73635
505,Metro,13,Malakoff-Rue ?tienne Dolet,70562
525,Metro,10,Maubert-Mutualit?,71190
441,Metro,8,Ledru Rollin,71693
487,Metro,12,Madeleine,71324
587,Metro,6,Nationale,71043
423,Metro,9,La Muette,71245
626,Metro,6,Passy,71237
583,Metro,1,Nation,71673
269,Metro,1,Esplanade de la D?fense,71485
273,Metro,4,?tienne Marcel,71282
409,Metro,2,La Chapelle,71434
379,Metro,11,Jourdain,71868
372,Metro,9,Jasmin,73657
836,Metro,4,Strasbourg-Saint-Denis,73633
696,Metro,13,Porte de Saint-Ouen,72078
692,Metro,7,Porte de la Villette,72430
800,Metro,6,S?vres-Lecourbe,71144
791,Metro,10,S?gur,71157
850,Metro,2,Ternes,71367
448,Train,LIGNE J,LES CLAIRI?RES-DE-VERNEUIL,65985
406,Train,LIGNE N,LA VERRI?RE,63426
401,RER,RER B,LA HACQUINI?RE,62825
450,RER,RER C,LES GR?SILLONS,72219
454,RER,RER C,LES SAULES,69662
433,RER,RER D,LE PLESSIS-CHENET,60006
430,RER,RER D,LE M?E,62003
427,RER,RER B,LE BOURGET,72641
743,RER,RER B,A?ROPORT CHARLES-DE-GAULLE 1,73596
39,Train,LIGNE H,AUVERS-SUR-OISE,67027
83,Train,LIGNE R,BOIS-LE-ROI,61727
6,RER,RER A,ACH?RES-VILLE,73604
106,RER,RER D,BOUTIGNY-SUR-ESSONNE,59565
81,RER,RER D,BOIGNEVILLE,59420
963,RER,RER E,?MERAINVILLE-PONTAULT-COMBAULT,67897
211,Train,LIGNE J,CORMEILLES-EN-PARISIS,65399
40,RER,RER C,AV. DU PDT KENNEDY,71212
58,Train,LIGNE L,B?CON-LES-BRUY?RES,72124
63,Train,LIGNE H,BELLOY-SAINT-MARTIN,67126
249,Train,LIGNE H,?COUEN-?ZANVILLE,66533
241,RER,RER C,DOURDAN-LA-FOR?T,59843
257,RER,RER C,?PINAY-SUR-ORGE,60915
68,Train,LIGNE H,BESSANCOURT,66672
254,RER,RER C,?GLY,60052
139,Train,LIGNE R,CHAMPAGNE-SUR-SEINE,61537
115,Train,LIGNE H,BRUY?RES-SUR-OISE,67325
138,Train,LIGNE H,CHAMPAGNE-SUR-OISE,67241
262,Train,LIGNE J,?P?NE-M?ZI?RES,65326
110,RER,RER C,BREUILLET-VILLAGE,59940
129,RER,RER A,CERGY-PR?FECTURE,66696
133,Train,LIGNE H,CERNAY,65752
364,Train,LIGNE P,ISLES-ARMENTI?RES-CONGIS,69162
367,RER,RER C,ISSY-VAL DE SEINE,71016
369,RER,RER C,IVRY-SUR-SEINE,70540
380,RER,RER C,JOUY-EN-JOSAS,63523
366,RER,RER C,ISSY,70612
304,Train,LIGNE L,GARCHES-MARNES-LA-COQUETTE,70713
339,Train,LIGNE H,GROS-NOYER-SAINT-PRIX,66063
289,RER,RER A,FONTENAY-SOUS-BOIS,71630
264,Train,LIGNE H,ERMONT-HALTE,65910
177,RER,RER C,CHAVILLE-V?LIZY,69487
306,RER,RER A,GARE DE LYON,73626
198,Train,LIGNE K,COMPANS,69136
360,RER,RER C,IGNY,63352
394,Train,LIGNE L,LA D?FENSE-GRANDE ARCHE,71517
541,Train,LIGNE J,MEULAN-HARDRICOURT,66321
518,RER,RER C,MAROLLES-EN-HUREPOIX,59948
554,Train,LIGNE R,MONTEREAU,61414
524,RER,RER C,MASSY-VERRI?RES,63320
766,Metro,12,Saint-Georges,71366
919,Metro,12,Volontaires,71113
776,Metro,4,Saint-Michel,73620
774,Metro,3,Saint-Maur,71795
923,Metro,3,Wagram,71423
879,Metro,4,Vavin,71117
778,Metro,9,Saint-Philippe du Roule,71334
777,Metro,1,Saint-Paul (le Marais),71222
689,Metro,13,Porte de Clichy,71545
683,Metro,10,Porte d'Auteuil,71169
842,Metro,7,Sully-Morland,71201
808,Metro,2,Stalingrad,71961
792,Metro,3,Sentier,73634
434,RER,RER E,LE RAINCY-VILLEMOMBLE-MONTFERMEIL,73297
516,Train,LIGNE P,MARLES-EN-BRIE,67604
451,Train,LIGNE J,LES MUREAUX,65994
475,Train,LIGNE P,LONGUEVILLE,61858
444,RER,RER C,LES ARDOINES,70064
474,RER,RER C,LONGJUMEAU,62977
538,Train,LIGNE N,MEUDON,70515
529,Train,LIGNE P,MEAUX,68963
403,RER,RER B,LAPLACE,70427
291,Train,LIGNE H,FRANCONVILLE-LE PLESSIS-BOUCHARD,66005
182,RER,RER A,CHESSY - MARNE-LA-VALL?E,68385
303,Train,LIGNE N,GARANCI?RES-LA QUEUE,64025
343,RER,RER E,HAUSSMANN-SAINT-LAZARE,71370
305,Train,LIGNE P,GARE DE L'EST,71359
308,Train,LIGNE K,GARE DU NORD,71410
335,RER,RER C,GRAVIGNY-BALIZY,62667
267,Train,LIGNE P,ESBLY,68653
277,RER,RER D,?VRY-COURCOURONNES,60450
276,RER,RER D,?VRY,60522
215,Train,LIGNE P,COUILLY-SAINT-GERMAIN-QUINCY,68505
71,RER,RER C,BIBLIOTH?QUE FRANCOIS MITTERRAND,71572
230,Train,LIGNE K,DAMMARTIN-JUILLY-SAINT-MARD,69254
46,Train,LIGNE R,BAGNEAUX-SUR-LOING,61145
42,RER,RER C,AV. HENRI MARTIN,71286
217,Train,LIGNE L,COURBEVOIE,73614
116,RER,RER A,BRY-SUR-MARNE,73166
45,RER,RER B,BAGNEUX,70210
242,RER,RER B,DRANCY,72652
48,RER,RER D,BALLANCOURT,59825
95,Train,LIGNE H,BOUFF?MONT-MOISSELLES,66795
103,Train,LIGNE R,BOURRON-MARLOTTE-GREZ,61318
82,Train,LIGNE J,BOIS-COLOMBES,72179
37,RER,RER B,AULNAY-SOUS-BOIS,72646
108,RER,RER C,BR?TIGNY,60247
89,RER,RER E,BONDY,72037
18,Train,GRD LIGNES,ANGERVILLE,59403
146,Train,LIGNE P,CHANGIS-SAINT-JEAN,68980
119,RER,RER A,BUSSY-SAINT-GEORGES,68105
330,RER,RER B,GIF-SUR-YVETTE,62890
137,RER,RER C,CHAMARANDE,59734
142,RER,RER A,CHAMPIGNY,73042
157,Train,LIGNE J,CHARS,67352
327,RER,RER B,GENTILLY,70543
135,RER,RER D,CESSON,62176
357,RER,RER A,HOUILLES-CARRI?RES-SUR-SEINE,64741
561,Train,LIGNE N,MONTPARNASSE,71139
378,RER,RER A,JOINVILLE-LE-PONT,70640
880,Train,LIGNE R,MORET-VENEUX-LES-SABLONS,61410
783,Train,LIGNE J,SANTEUIL-LE-PERCHAY,67196
485,Train,LIGNE H,LUZARCHES,67177
593,RER,RER E,NOGENT-LE-PERREUX,71609
644,Train,LIGNE H,PIERRELAYE,66491
597,RER,RER A,NOISY-CHAMPS,73163
616,RER,RER B,PALAISEAU,63175
483,RER,RER B,LOZ?RE,63029
556,RER,RER D,MONTGERON-CROSNE,63072
784,Train,LIGNE H,SARCELLES-SAINT-BRICE,66079
658,Train,LIGNE N,PLAISIR-LES-CLAYES,64195
795,RER,RER B,SEVRAN-BEAUDOTTES,73491
788,RER,RER C,SAVIGNY-SUR-ORGE,60987
570,Train,LIGNE P,MORTCERF,67805
680,RER,RER B,PORT ROYAL,71106
660,RER,RER A,POISSY,64883
843,Train,LIGNE L,SURESNES-MONT-VAL?RIEN,70829
599,RER,RER E,NOISY-LE-SEC,72041
846,Train,LIGNE N,TACOIGNI?RES-RICHEBOURG,64194
910,Train,LIGNE P,VILLIERS-MONTBARBIN,68311
756,RER,RER C,RUNGIS-LA FRATERNELLE,69633
748,RER,RER E,ROSNY-SOUS-BOIS,71848
811,RER,RER C,SAINT-CH?RON,59882
912,RER,RER E,VILLIERS-SUR-MARNE-PLESSIS-TR?VISE,73097
827,RER,RER B,SAINT-MICHEL NOTRE DAME,73620
